id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,year,pop
2119,Aves,Procellariiformes,Diomedeidae,Phoebastria,immutabilis,,"(Rothschild, 1893)",Laysan albatross,Midway Atoll,United States Minor Outlying Islands,Oceania,28.21667,-177.36667,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of active nests,Count,No,2006,487527
2269,Actinopteri,Gadiformes,Gadidae,Micromesistius,australis,pallidus,Norman 1937,Southen blue whiting,"Campbell Island, New Zealand",New Zealand,Oceania,-52.5,169.08333,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Spawning stock biomass/tonnes,SPA,No,2006,155372
2300,Aves,Sphenisciformes,Spheniscidae,Megadyptes,antipodes,,"(Hombron & Jacquinot, 1841)",Yellow-eyed penguin,"Otago Peninsula, South Island, New Zealand",New Zealand,Oceania,-45.866667,170.666667,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of breeding pairs,Nest searches in some areas, beach counts in others,2006,413
8157,Aves,Sphenisciformes,Spheniscidae,Eudyptula,minor,,"(Forster, 1781)",Little penguin,"Summerland Beach, Phillip Island, Australia",Australia,Oceania,-38.45,145.18333,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Annual mean number,50-minute counts made every night between November 1978 and June 2008,No,2006,804.52
8990,Aves,Charadriiformes,Laridae,Larus,dominicanus,,"Lichtenstein, 1823",Kelp gull,"South east Tasmania, Australia",Australia,Oceania,-42.96667,147.46667,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Change in numbers, expressed as percentages of initial counts,Winter counts,2006,400.04
8991,Aves,Charadriiformes,Laridae,Larus,pacificus,,"Latham, 1801",Pacific gull,"South east Tasmania, Australia",Australia,Oceania,-42.96667,147.46667,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Change in numbers, expressed as percentages of initial counts,Winter counts,2006,23.43
8992,Aves,Charadriiformes,Laridae,Larus,novaehollandiae,,"Stephens, 1826",Silver gull,"South east Tasmania, Australia",Australia,Oceania,-42.96667,147.46667,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Change in numbers, expressed as percentages of initial counts,Winter counts,2006,62.38
8993,Aves,Suliformes,Sulidae,Sula,sula,,"(Linnaeus, 1766)",Red-footed booby,"Pisonia forest, North East Herald Cay in the Coringa-Herald National Nature Reserve, Australia",Australia,Oceania,-16.93333,149.18333,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of nesting pairs,Annual counts,No,2006,1107
8994,Aves,Suliformes,Sulidae,Sula,sula,,"(Linnaeus, 1766)",Red-footed booby,"Argusia shrubland, North East Herald Cay in the Coringa-Herald National Nature Reserve, Australia",Australia,Oceania,-16.93333,149.18333,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of nesting pairs,Annual counts,No,2006,513
8995,Aves,Phaethontiformes,Phaethontidae,Phaethon,rubricauda,,"Boddaert, 1783",Red-tailed tropicbird,"North East Herald Cay in the Coringa-Herald National Nature Reserve, Australia",Australia,Oceania,-16.93333,149.18333,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of nesting pairs,Annual surveys,No,2006,218
